ImageId;YRelW;XRelH;utility
0;0.286232;0.785714;0.752275
1;0.018116;0.768132;0.604960
3;0.850725;0.301832;1.000000
4;0.550725;0.303663;0.899990
5;0.209420;0.304762;0.899990
6;0.957246;0.644689;0.942294
7;0.807971;0.771062;1.000000
7;0.668841;0.645421;0.885289
8;0.775362;0.289744;1.000000
8;0.475362;0.771062;1.000000
8;0.335507;0.645421;0.786479
9;0.442029;0.290110;1.000000
9;0.150000;0.772527;1.000000
10;0.118116;0.290110;1.000000
11;0.936232;0.432967;0.957696
12;0.628986;0.430037;0.886289
12;0.821014;0.686081;0.799980
13;0.295652;0.429670;0.886889
13;0.488406;0.685714;0.899990
14;0.144203;0.686447;0.899990
14;0.031884;0.410623;0.544554
14;0.948551;0.745788;0.941294
15;0.948551;0.779487;0.938894
15;0.676087;0.760806;1.000000
16;0.642754;0.779487;0.957796
16;0.975362;0.543590;0.519952
16;0.343478;0.760806;1.000000
16;0.925362;0.775458;0.758176
17;0.309420;0.779487;0.958896
17;0.957246;0.334432;0.918492
17;0.790580;0.328938;1.000000
17;0.704348;0.776190;1.000000
17;0.057246;0.768132;0.861686
18;0.026812;0.777289;0.919992
18;0.787681;0.305861;1.000000
18;0.454348;0.330037;1.000000
18;0.371014;0.776557;1.000000
19;0.514493;0.301832;1.000000
19;0.128986;0.328205;1.000000
19;0.826087;0.388278;1.000000
19;0.104348;0.785714;0.858086
20;0.226812;0.302564;0.899990
20;0.492029;0.387912;1.000000
21;0.158696;0.388278;1.000000
21;0.924638;0.727106;1.000000
22;0.736232;0.726740;0.899990
23;0.079710;0.661905;0.799980
23;0.889130;0.678388;0.980698
23;0.404348;0.725641;0.899990
24;0.681884;0.675092;1.000000
24;0.146377;0.727839;0.899990
24;0.943478;0.789744;0.634663
25;0.349275;0.674725;1.000000
25;0.644203;0.790110;0.659566
26;0.910145;0.261538;1.000000
26;0.311594;0.790476;0.758476
27;0.631884;0.265568;1.000000
27;0.032609;0.791575;0.720272
28;0.297826;0.265568;0.899990
28;0.913768;0.649817;1.000000
29;0.935507;0.417582;0.951695
29;0.051449;0.290476;0.968497
29;0.640580;0.646520;1.000000
29;0.797826;0.708425;1.000000
30;0.603623;0.417949;0.951295
30;0.305072;0.646154;1.000000
30;0.467391;0.709158;1.000000
31;0.268116;0.416850;0.951495
31;0.053623;0.629670;0.960796
31;0.141304;0.708059;1.000000
32;0.844928;0.381319;0.799980
33;0.723913;0.591575;0.948495
33;0.873913;0.733333;0.699970
34;0.390580;0.591941;0.949595
34;0.198551;0.381319;0.599960
34;0.957971;0.735165;0.868987
34;0.544928;0.726007;0.699970
34;0.722464;0.716117;0.899990
35;0.069565;0.591941;0.942194
35;0.701449;0.735531;0.699970
