#######DatosPrueba 2Steps###########
Pos Tolva e Inicial:[0,800,-1130.91]
bajadamm:100
radioRobot:800
##############################
TypeMove;EndPosX;EndPosY;Time
Pick;0;-800;0.656
Place;0;-800;0.411
Pick;-89;-795;0.423
Place;-89;-795;0.417
Pick;-84;-795;0.423
Place;-84;-795;0.416
Pick;-79;-795;0.423
Place;-79;-795;0.416
Pick;-74;-795;0.424
Place;-74;-795;0.415
Pick;-69;-795;0.423
Place;-69;-795;0.415
Pick;-64;-795;0.423
Place;-64;-795;0.415
Pick;-59;-795;0.423
Place;-59;-795;0.416
Pick;-54;-795;0.423
Place;-54;-795;0.415
Pick;-49;-795;0.424
Place;-49;-795;0.416
Pick;-44;-795;0.423
Place;-44;-795;0.409
Pick;-39;-795;0.427
Place;-39;-795;0.408
Pick;-34;-795;0.427
Place;-34;-795;0.408
Pick;-29;-795;0.424
Place;-29;-795;0.407
Pick;-24;-795;0.427
Place;-24;-795;0.407
Pick;-19;-795;0.423
Place;-19;-795;0.407
Pick;-14;-795;0.423
Place;-14;-795;0.408
Pick;-9;-795;0.423
Place;-9;-795;0.407
Pick;-4;-795;0.42
Place;-4;-795;0.412
Pick;1;-795;0.419
Place;1;-795;0.413
Pick;6;-795;0.419
Place;6;-795;0.412
Pick;11;-795;0.419
Place;11;-795;0.412
Pick;16;-795;0.42
Place;16;-795;0.411
Pick;21;-795;0.419
Place;21;-795;0.411
Pick;26;-795;0.419
Place;26;-795;0.411
Pick;31;-795;0.419
Place;31;-795;0.411
Pick;36;-795;0.419
Place;36;-795;0.411
Pick;41;-795;0.42
Place;41;-795;0.412
Pick;46;-795;0.419
Place;46;-795;0.413
Pick;51;-795;0.419
Place;51;-795;0.412
Pick;56;-795;0.419
Place;56;-795;0.412
Pick;61;-795;0.42
Place;61;-795;0.411
Pick;66;-795;0.419
Place;66;-795;0.411
Pick;71;-795;0.419
Place;71;-795;0.411
Pick;76;-795;0.419
Place;76;-795;0.412
Pick;81;-795;0.419
Place;81;-795;0.411
Pick;86;-795;0.42
Place;86;-795;0.412
Pick;-126;-790;0.426
Place;-126;-790;0.412
Pick;-121;-790;0.423
Place;-121;-790;0.415
Pick;-116;-790;0.423
Place;-116;-790;0.415
Pick;-111;-790;0.423
Place;-111;-790;0.415
Pick;-106;-790;0.423
Place;-106;-790;0.416
Pick;-101;-790;0.423
Place;-101;-790;0.415
Pick;-96;-790;0.424
Place;-96;-790;0.416
Pick;-91;-790;0.423
Place;-91;-790;0.417
Pick;-86;-790;0.423
Place;-86;-790;0.416
Pick;-81;-790;0.423
Place;-81;-790;0.416
Pick;-76;-790;0.424
Place;-76;-790;0.415
Pick;-71;-790;0.423
Place;-71;-790;0.415
Pick;-66;-790;0.423
Place;-66;-790;0.411
Pick;-61;-790;0.427
Place;-61;-790;0.408
Pick;-56;-790;0.427
Place;-56;-790;0.407
Pick;-51;-790;0.428
Place;-51;-790;0.408
Pick;-46;-790;0.423
Place;-46;-790;0.409
Pick;-41;-790;0.423
Place;-41;-790;0.408
Pick;-36;-790;0.423
Place;-36;-790;0.408
Pick;-31;-790;0.424
Place;-31;-790;0.407
Pick;-26;-790;0.419
Place;-26;-790;0.411
Pick;-21;-790;0.419
Place;-21;-790;0.411
Pick;-16;-790;0.419
Place;-16;-790;0.412
Pick;-11;-790;0.419
Place;-11;-790;0.411
Pick;-6;-790;0.42
Place;-6;-790;0.412
Pick;-1;-790;0.419
Place;-1;-790;0.413
Pick;4;-790;0.419
Place;4;-790;0.412
Pick;9;-790;0.419
Place;9;-790;0.412
Pick;14;-790;0.42
Place;14;-790;0.411
Pick;19;-790;0.419
Place;19;-790;0.411
Pick;24;-790;0.419
Place;24;-790;0.411
Pick;29;-790;0.419
Place;29;-790;0.412
Pick;34;-790;0.419
Place;34;-790;0.411
Pick;39;-790;0.42
Place;39;-790;0.412
Pick;44;-790;0.419
Place;44;-790;0.413
Pick;49;-790;0.419
Place;49;-790;0.408
Pick;54;-790;0.419
Place;54;-790;0.408
Pick;59;-790;0.42
Place;59;-790;0.407
Pick;64;-790;0.419
Place;64;-790;0.407
Pick;69;-790;0.419
Place;69;-790;0.407
Pick;74;-790;0.419
Place;74;-790;0.408
Pick;79;-790;0.419
Place;79;-790;0.407
Pick;84;-790;0.42
Place;84;-790;0.408
Pick;89;-790;0.415
Place;89;-790;0.413
Pick;94;-790;0.415
Place;94;-790;0.408
Pick;99;-790;0.415
Place;99;-790;0.408
Pick;104;-790;0.416
Place;104;-790;0.407
Pick;109;-790;0.415
Place;109;-790;0.407
Pick;114;-790;0.415
Place;114;-790;0.407
Pick;119;-790;0.415
Place;119;-790;0.408
Pick;124;-790;0.415
Place;124;-790;0.407
Pick;-154;-785;0.428
Place;-154;-785;0.412
Pick;-149;-785;0.427
Place;-149;-785;0.412
Pick;-144;-785;0.428
Place;-144;-785;0.411
Pick;-139;-785;0.427
Place;-139;-785;0.411
Pick;-134;-785;0.423
Place;-134;-785;0.415
Pick;-129;-785;0.423
Place;-129;-785;0.416
Pick;-124;-785;0.423
Place;-124;-785;0.415
Pick;-119;-785;0.424
Place;-119;-785;0.416
Pick;-114;-785;0.423
Place;-114;-785;0.417
Pick;-109;-785;0.423
Place;-109;-785;0.416
Pick;-104;-785;0.423
Place;-104;-785;0.416
Pick;-99;-785;0.424
Place;-99;-785;0.415
Pick;-94;-785;0.423
Place;-94;-785;0.415
Pick;-89;-785;0.423
Place;-89;-785;0.415
Pick;-84;-785;0.423
Place;-84;-785;0.412
Pick;-79;-785;0.427
Place;-79;-785;0.407
Pick;-74;-785;0.424
Place;-74;-785;0.408
Pick;-69;-785;0.423
Place;-69;-785;0.409
Pick;-64;-785;0.423
Place;-64;-785;0.408
Pick;-59;-785;0.423
Place;-59;-785;0.408
Pick;-54;-785;0.424
Place;-54;-785;0.407
Pick;-49;-785;0.423
Place;-49;-785;0.407
Pick;-44;-785;0.419
Place;-44;-785;0.411
Pick;-39;-785;0.419
Place;-39;-785;0.412
Pick;-34;-785;0.419
Place;-34;-785;0.411
Pick;-29;-785;0.42
Place;-29;-785;0.412
Pick;-24;-785;0.419
Place;-24;-785;0.413
Pick;-19;-785;0.419
Place;-19;-785;0.412
Pick;-14;-785;0.419
Place;-14;-785;0.412
Pick;-9;-785;0.42
Place;-9;-785;0.411
Pick;-4;-785;0.419
Place;-4;-785;0.411
Pick;1;-785;0.419
Place;1;-785;0.411
Pick;6;-785;0.419
Place;6;-785;0.412
Pick;11;-785;0.419
Place;11;-785;0.411
Pick;16;-785;0.42
Place;16;-785;0.408
Pick;21;-785;0.419
Place;21;-785;0.409
Pick;26;-785;0.419
Place;26;-785;0.408
Pick;31;-785;0.419
Place;31;-785;0.408
Pick;36;-785;0.42
Place;36;-785;0.407
Pick;41;-785;0.419
Place;41;-785;0.407
Pick;46;-785;0.419
Place;46;-785;0.407
Pick;51;-785;0.419
Place;51;-785;0.408
Pick;56;-785;0.419
Place;56;-785;0.407
Pick;61;-785;0.42
Place;61;-785;0.404
Pick;66;-785;0.419
Place;66;-785;0.405
Pick;71;-785;0.419
Place;71;-785;0.404
Pick;76;-785;0.419
Place;76;-785;0.404
Pick;81;-785;0.419
Place;81;-785;0.403
Pick;86;-785;0.415
Place;86;-785;0.407
Pick;91;-785;0.415
Place;91;-785;0.407
Pick;96;-785;0.415
Place;96;-785;0.408
Pick;101;-785;0.416
Place;101;-785;0.407
Pick;106;-785;0.415
Place;106;-785;0.408
Pick;111;-785;0.415
Place;111;-785;0.409
Pick;116;-785;0.415
Place;116;-785;0.408
Pick;121;-785;0.415
Place;121;-785;0.408
Pick;126;-785;0.416
Place;126;-785;0.407
Pick;131;-785;0.415
Place;131;-785;0.407
Pick;136;-785;0.415
Place;136;-785;0.407
Pick;141;-785;0.415
Place;141;-785;0.408
Pick;146;-785;0.415
Place;146;-785;0.407
Pick;151;-785;0.416
Place;151;-785;0.408
Pick;-177;-780;0.426
Place;-177;-780;0.412
Pick;-172;-780;0.427
Place;-172;-780;0.411
Pick;-167;-780;0.427
Place;-167;-780;0.411
Pick;-162;-780;0.427
Place;-162;-780;0.411
Pick;-157;-780;0.427
Place;-157;-780;0.412
Pick;-152;-780;0.423
Place;-152;-780;0.415
Pick;-147;-780;0.424
Place;-147;-780;0.416
Pick;-142;-780;0.423
Place;-142;-780;0.417
Pick;-137;-780;0.423
Place;-137;-780;0.416
Pick;-132;-780;0.423
Place;-132;-780;0.416
Pick;-127;-780;0.424
Place;-127;-780;0.411
Pick;-122;-780;0.423
Place;-122;-780;0.411
Pick;-117;-780;0.427
Place;-117;-780;0.415
Pick;-112;-780;0.423
Place;-112;-780;0.412
Pick;-107;-780;0.427
Place;-107;-780;0.411
Pick;-102;-780;0.428
Place;-102;-780;0.412
Pick;-97;-780;0.427
Place;-97;-780;0.409
Pick;-92;-780;0.423
Place;-92;-780;0.408
Pick;-87;-780;0.423
Place;-87;-780;0.408
Pick;-82;-780;0.424
Place;-82;-780;0.407
Pick;-77;-780;0.423
Place;-77;-780;0.407
Pick;-72;-780;0.423
Place;-72;-780;0.407
Pick;-67;-780;0.423
Place;-67;-780;0.408
Pick;-62;-780;0.419
Place;-62;-780;0.411
Pick;-57;-780;0.42
Place;-57;-780;0.412
Pick;-52;-780;0.419
Place;-52;-780;0.413
Pick;-47;-780;0.419
Place;-47;-780;0.412
Pick;-42;-780;0.419
Place;-42;-780;0.412
Pick;-37;-780;0.42
Place;-37;-780;0.411
Pick;-32;-780;0.419
Place;-32;-780;0.411
Pick;-27;-780;0.419
Place;-27;-780;0.411
Pick;-22;-780;0.419
Place;-22;-780;0.412
Pick;-17;-780;0.419
Place;-17;-780;0.411
Pick;-12;-780;0.42
Place;-12;-780;0.412
Pick;-7;-780;0.419
Place;-7;-780;0.413
Pick;-2;-780;0.419
Place;-2;-780;0.408
Pick;3;-780;0.419
Place;3;-780;0.408
Pick;8;-780;0.42
Place;8;-780;0.407
Pick;13;-780;0.419
Place;13;-780;0.407
Pick;18;-780;0.419
Place;18;-780;0.407
Pick;23;-780;0.419
Place;23;-780;0.404
Pick;28;-780;0.423
Place;28;-780;0.403
Pick;33;-780;0.42
Place;33;-780;0.404
Pick;38;-780;0.415
Place;38;-780;0.409
Pick;43;-780;0.415
Place;43;-780;0.408
Pick;48;-780;0.415
Place;48;-780;0.408
Pick;53;-780;0.416
Place;53;-780;0.407
Pick;58;-780;0.415
Place;58;-780;0.407
Pick;63;-780;0.415
Place;63;-780;0.407
Pick;68;-780;0.415
Place;68;-780;0.408
Pick;73;-780;0.415
Place;73;-780;0.407
Pick;78;-780;0.416
Place;78;-780;0.408
Pick;83;-780;0.415
Place;83;-780;0.409
Pick;88;-780;0.415
Place;88;-780;0.408
Pick;93;-780;0.415
Place;93;-780;0.408
Pick;98;-780;0.416
Place;98;-780;0.407
Pick;103;-780;0.415
Place;103;-780;0.407
Pick;108;-780;0.415
Place;108;-780;0.407
Pick;113;-780;0.415
Place;113;-780;0.408
Pick;118;-780;0.415
