time;utilityPicked;utilityLost;picks_por_minuto;totalPicks
15-03-2021 14:54:52;0;0;0.0;0
15-03-2021 14:54:57;2;0;12.170385395537517;2
15-03-2021 14:55:02;5;0;20.3942895989122;5
15-03-2021 14:55:07;11;0;33.91572456320633;11
15-03-2021 14:55:12;17;0;41.9580419580416;17
15-03-2021 14:55:17;23;1;47.90003471016962;23
15-03-2021 14:55:22;32;6;57.12585540017813;32
15-03-2021 14:55:27;38;8;59.20540119449502;38
15-03-2021 14:55:32;45;10;62.269372693727405;45
15-03-2021 14:55:37;53;11;65.82488097702422;53
15-03-2021 14:55:42;58;13;65.52438335530141;58
15-03-2021 14:55:47;67;17;69.35817805383161;67
15-03-2021 14:55:52;75;19;71.75889012916764;75
15-03-2021 14:55:58;83;30;73.65774293743715;83
15-03-2021 14:56:03;90;41;74.42116868798439;90
15-03-2021 14:56:08;100;52;77.45933384973117;100
15-03-2021 14:56:13;106;59;77.22195240408203;106
15-03-2021 14:56:18;113;65;77.65433512770838;113
15-03-2021 14:56:23;122;72;79.3409928463066;122
15-03-2021 14:56:28;132;83;81.47309947536546;132
15-03-2021 14:56:33;137;90;80.50142003721766;137
15-03-2021 14:56:38;147;95;82.4222035323832;147
15-03-2021 14:56:43;154;104;82.49263458620078;154
15-03-2021 14:56:48;163;109;83.72570841537862;163
15-03-2021 14:56:53;171;119;84.2641261498062;171
15-03-2021 14:56:58;179;122;84.79393652297827;179
15-03-2021 14:57:03;186;124;84.79598814680013;186
15-03-2021 14:57:08;193;125;84.79789103690884;193
15-03-2021 14:57:13;201;129;85.25378198784233;201
15-03-2021 14:57:18;209;132;85.62064727570723;209
15-03-2021 14:57:23;217;135;85.99167822468782;217
15-03-2021 14:57:28;224;137;85.95548733691409;224
15-03-2021 14:57:33;232;139;86.32022820290084;232
15-03-2021 14:57:38;240;144;86.63738643884058;240
15-03-2021 14:57:43;246;144;86.20991764499502;246
15-03-2021 14:57:48;254;144;86.5122615803786;254
15-03-2021 14:57:53;259;144;85.7805255023151;259
15-03-2021 14:57:58;265;144;85.410399656206;265
15-03-2021 14:58:03;272;145;85.39584532467799;272
15-03-2021 14:58:08;277;147;84.79159226569625;277
15-03-2021 14:58:13;285;151;85.09156050954928;285
15-03-2021 14:58:18;292;152;85.08571706084663;292
15-03-2021 14:58:23;298;152;84.77549665733648;298
15-03-2021 14:58:28;302;152;83.9238571627009;302
15-03-2021 14:58:33;305;152;82.83916527091881;305
15-03-2021 14:58:38;309;152;82.06808020892655;309
15-03-2021 14:58:43;312;152;81.07054696634411;312
15-03-2021 14:58:48;316;152;80.38667005850267;316
15-03-2021 14:58:53;321;152;79.96346425308626;321
15-03-2021 14:58:58;329;152;80.28959570486562;329
15-03-2021 14:59:03;336;152;80.37957019256875;336
15-03-2021 14:59:08;343;153;80.52903427765722;343
15-03-2021 14:59:13;352;161;81.05618667484637;352
15-03-2021 14:59:18;359;162;81.12688787615488;359
15-03-2021 14:59:23;368;167;81.63868963986458;368
15-03-2021 14:59:28;375;171;81.68155086037058;375
15-03-2021 14:59:33;382;171;81.7374558681844;382
15-03-2021 14:59:38;387;171;81.35664482673174;387
15-03-2021 14:59:43;395;171;81.60876002891568;395
15-03-2021 14:59:48;400;171;81.25677139760741;400
15-03-2021 14:59:53;406;172;81.10267678784538;406
15-03-2021 14:59:58;411;172;80.7571391144785;411
15-03-2021 15:00:03;418;173;80.8093826523942;418
15-03-2021 15:00:08;427;175;81.25336969965099;427
15-03-2021 15:00:13;434;181;81.29624426336005;434
15-03-2021 15:00:18;442;183;81.53477218224424;442
15-03-2021 15:00:23;450;187;81.76614881438073;450
15-03-2021 15:00:28;457;190;81.79946898957837;457
15-03-2021 15:00:33;464;191;81.84383819378078;464
15-03-2021 15:00:38;471;191;81.87507243016681;471
15-03-2021 15:00:43;476;191;81.5627141877893;476
15-03-2021 15:00:48;481;191;81.28203683883349;481
15-03-2021 15:00:53;489;196;81.48641893016752;489
15-03-2021 15:00:58;496;199;81.52084588833623;496
15-03-2021 15:01:03;503;199;81.5874131545401;503
15-03-2021 15:01:08;511;206;81.79053513310524;511
15-03-2021 15:01:13;519;217;81.98836260234255;519
15-03-2021 15:01:18;524;217;81.70265845481055;524
15-03-2021 15:01:23;531;217;81.75309845781621;531
15-03-2021 15:01:28;536;218;81.47754047274069;536
15-03-2021 15:01:33;542;218;81.3589852643051;542
15-03-2021 15:01:38;546;218;80.96685697337021;546
15-03-2021 15:01:43;553;219;81.01377087605046;553
15-03-2021 15:01:48;561;225;81.20431352680303;561
15-03-2021 15:01:53;570;237;81.53340008581274;570
15-03-2021 15:01:58;578;246;81.71343747789852;578
15-03-2021 15:02:03;585;249;81.75910181452754;585
15-03-2021 15:02:08;593;251;81.92305035572451;593
15-03-2021 15:02:13;602;255;82.23856469569137;602
15-03-2021 15:02:18;610;259;82.39346255148352;610
15-03-2021 15:02:23;617;261;82.42051830081576;617
15-03-2021 15:02:28;626;263;82.70213140742094;626
15-03-2021 15:02:33;633;268;82.72527281042494;633
15-03-2021 15:02:38;640;269;82.74792052750529;640
15-03-2021 15:02:43;647;272;82.76126721526884;647
15-03-2021 15:02:48;655;272;82.90964325645852;655
15-03-2021 15:02:53;663;276;83.05495239684691;663
15-03-2021 15:02:58;668;277;82.8167617158313;668
15-03-2021 15:03:03;676;281;82.96005399765522;676
15-03-2021 15:03:08;682;285;82.84910206311581;682
15-03-2021 15:03:13;689;288;82.8689411858907;689
15-03-2021 15:03:18;697;294;83.00748297968148;697
15-03-2021 15:03:23;705;297;83.15150085509077;705
15-03-2021 15:03:28;713;302;83.28466300664502;713
15-03-2021 15:03:33;720;303;83.29155901745587;720
15-03-2021 15:03:38;727;305;83.3062775729914;727
15-03-2021 15:03:43;736;305;83.54775238382472;736
15-03-2021 15:03:48;744;311;83.68012597007227;744
15-03-2021 15:03:53;752;320;83.7945251272056;752
15-03-2021 15:03:58;759;321;83.80412579819199;759
15-03-2021 15:04:03;766;322;83.80591163544773;766
15-03-2021 15:04:08;776;324;84.1329213422169;776
15-03-2021 15:04:13;784;327;84.24672254458885;784
15-03-2021 15:04:18;791;327;84.24453280317562;791
15-03-2021 15:04:23;800;329;84.453515377573;800
15-03-2021 15:04:28;807;331;84.47902854350924;807
15-03-2021 15:04:33;814;331;84.48219197038304;814
15-03-2021 15:04:38;822;332;84.58095385090037;822
15-03-2021 15:04:43;827;332;84.3719712298701;827
15-03-2021 15:04:48;832;332;84.18070521576244;832
15-03-2021 15:04:53;838;332;84.08589203291133;838
15-03-2021 15:04:58;846;334;84.19865308695226;846
15-03-2021 15:05:03;855;341;84.40137542982251;855
15-03-2021 15:05:08;862;341;84.39810055319072;862
15-03-2021 15:05:13;868;341;84.29776144769619;868
15-03-2021 15:05:18;873;341;84.10269584624776;873
15-03-2021 15:05:23;877;341;83.82184274245243;877
15-03-2021 15:05:28;882;341;83.63360515835753;882
15-03-2021 15:05:33;891;343;83.83120854307239;891
15-03-2021 15:05:38;898;347;83.83252166607502;898
15-03-2021 15:05:43;905;347;83.84028657011928;905
15-03-2021 15:05:48;912;347;83.84151012779063;912
15-03-2021 15:05:53;920;348;83.94032937455972;920
15-03-2021 15:05:58;927;355;83.95344975925585;927
15-03-2021 15:06:03;935;356;84.04368473881287;935
15-03-2021 15:06:08;942;357;84.05585877664721;942
15-03-2021 15:06:13;950;363;84.15023030590194;950
15-03-2021 15:06:18;958;369;84.24323254826417;958
15-03-2021 15:06:23;963;369;84.06686938936797;963
15-03-2021 15:06:28;971;375;84.1712898751833;971
15-03-2021 15:06:33;980;380;84.34218830685535;980
15-03-2021 15:06:38;987;383;84.3517648064377;987
15-03-2021 15:06:43;995;384;84.440106929192;995
15-03-2021 15:06:48;1002;390;84.44294623294626;1002
15-03-2021 15:06:53;1010;390;84.5294388417079;1010
15-03-2021 15:06:58;1018;396;84.6147452414723;1018
15-03-2021 15:07:03;1024;397;84.52796962277408;1024
15-03-2021 15:07:08;1032;397;84.60634547592431;1032
15-03-2021 15:07:13;1039;397;84.60797220451724;1039
15-03-2021 15:07:18;1045;399;84.52299106241587;1045
15-03-2021 15:07:23;1052;399;84.52514864214888;1052
15-03-2021 15:07:28;1059;400;84.52165584762622;1059
15-03-2021 15:07:33;1068;401;84.68237501818648;1068
15-03-2021 15:07:38;1076;404;84.75666592274263;1076
15-03-2021 15:07:43;1080;404;84.52247410848699;1080
15-03-2021 15:07:48;1089;406;84.67459762073068;1089
15-03-2021 15:07:53;1097;409;84.75296480860848;1097
15-03-2021 15:07:58;1104;409;84.75356978352758;1104
15-03-2021 15:08:03;1111;409;84.74877949554286;1111
15-03-2021 15:08:08;1118;409;84.74940303977786;1118
15-03-2021 15:08:13;1126;412;84.83067766604509;1126
15-03-2021 15:08:18;1135;425;84.98053309375983;1135
15-03-2021 15:08:23;1141;433;84.90530937234531;1141
15-03-2021 15:08:28;1149;435;84.97892167741063;1149
15-03-2021 15:08:33;1157;439;85.0568515977462;1157
15-03-2021 15:08:38;1164;441;85.11260602517413;1164
15-03-2021 15:08:43;1171;447;85.1110222771587;1171
15-03-2021 15:08:48;1179;452;85.18170652411636;1179
15-03-2021 15:08:53;1187;453;85.24645105692441;1187
15-03-2021 15:08:58;1193;453;85.17778095104293;1193
15-03-2021 15:09:03;1201;456;85.24683252300201;1201
15-03-2021 15:09:08;1209;459;85.31006338866912;1209
15-03-2021 15:09:13;1216;459;85.30240497599657;1216
15-03-2021 15:09:18;1221;459;85.16030037432866;1221
15-03-2021 15:09:23;1226;459;85.02473530909927;1226
15-03-2021 15:09:28;1235;471;85.16654023862806;1235
15-03-2021 15:09:33;1244;477;85.29700820517583;1244
15-03-2021 15:09:38;1248;478;85.0899421597726;1248
15-03-2021 15:09:43;1256;482;85.16120283421125;1256
15-03-2021 15:09:48;1263;486;85.15467856302578;1263
15-03-2021 15:09:53;1273;491;85.35413360751704;1273
15-03-2021 15:09:58;1281;499;85.41803269581702;1281
15-03-2021 15:10:03;1288;501;85.41019661589007;1288
15-03-2021 15:10:08;1294;501;85.34118888500689;1294
15-03-2021 15:10:13;1301;501;85.33385806115729;1301
15-03-2021 15:10:18;1306;501;85.19613812301534;1306
15-03-2021 15:10:23;1311;501;85.05990743546968;1311
15-03-2021 15:10:28;1318;501;85.0587817706869;1318
15-03-2021 15:10:33;1324;503;84.98892704691903;1324
15-03-2021 15:10:38;1334;513;85.17974586555364;1334
15-03-2021 15:10:43;1341;517;85.17800997239762;1341
15-03-2021 15:10:48;1350;525;85.30266649819593;1350
15-03-2021 15:10:53;1358;538;85.36764243658963;1358
15-03-2021 15:10:58;1366;545;85.42305046591598;1366
15-03-2021 15:11:03;1373;555;85.42453025843888;1373
15-03-2021 15:11:08;1382;568;85.54538795641079;1382
15-03-2021 15:11:13;1389;577;85.53745727748758;1389
15-03-2021 15:11:18;1398;582;85.65651614487405;1398
15-03-2021 15:11:23;1407;591;85.77437741948343;1407
15-03-2021 15:11:28;1415;609;85.83474032213827;1415
15-03-2021 15:11:33;1422;623;85.82982918539179;1422
15-03-2021 15:11:38;1431;630;85.9493873628884;1431
15-03-2021 15:11:43;1439;652;86.00372543358608;1439
15-03-2021 15:11:48;1447;663;86.05326540527085;1447
15-03-2021 15:11:53;1455;669;86.10656303634843;1455
15-03-2021 15:11:58;1462;676;86.10467627314834;1462
15-03-2021 15:12:03;1471;680;86.21582284048513;1471
15-03-2021 15:12:08;1479;690;86.27176480885217;1479
15-03-2021 15:12:13;1489;705;86.43910368051579;1489
15-03-2021 15:12:18;1495;706;86.36958866125622;1495
15-03-2021 15:12:23;1503;708;86.41987139561161;1503
15-03-2021 15:12:28;1513;714;86.58826222568949;1513
15-03-2021 15:12:33;1522;723;86.69812305972178;1522
15-03-2021 15:12:38;1530;730;86.75026696027817;1530
15-03-2021 15:12:43;1538;737;86.79784792508782;1538
15-03-2021 15:12:48;1546;739;86.84498787581502;1546
15-03-2021 15:12:53;1553;747;86.8357780553158;1553
15-03-2021 15:12:58;1560;752;86.82665281401616;1560
15-03-2021 15:13:03;1569;757;86.92440513018161;1569
15-03-2021 15:13:08;1578;758;87.02125899581661;1578
15-03-2021 15:13:13;1585;765;87.01141853319318;1585
15-03-2021 15:13:18;1593;770;87.06028091017;1593
15-03-2021 15:13:23;1601;780;87.10870905731042;1601
15-03-2021 15:13:28;1611;794;87.26110624625588;1611
15-03-2021 15:13:33;1617;796;87.19252994943918;1617
15-03-2021 15:13:38;1627;799;87.34319918404607;1627
15-03-2021 15:13:43;1632;802;87.2253053153288;1632
15-03-2021 15:13:48;1640;806;87.26808329493923;1640
15-03-2021 15:13:53;1648;808;87.3104873246524;1648
15-03-2021 15:13:58;1657;813;87.4052713941963;1657
15-03-2021 15:14:03;1665;816;87.44288640306264;1665
15-03-2021 15:14:08;1673;817;87.48398567211665;1673
15-03-2021 15:14:13;1681;823;87.52093438970833;1681
15-03-2021 15:14:18;1689;823;87.56134651279135;1689
15-03-2021 15:14:23;1695;824;87.49440792873511;1695
15-03-2021 15:14:28;1702;828;87.47944078951218;1702
15-03-2021 15:14:33;1710;831;87.51951275690334;1710
15-03-2021 15:14:38;1718;837;87.55924774480215;1718
15-03-2021 15:14:43;1727;846;87.64569553232471;1727
15-03-2021 15:14:48;1734;846;87.63403273224333;1734
15-03-2021 15:14:53;1740;847;87.57581095708196;1740
15-03-2021 15:14:58;1749;849;87.66111719060689;1749
15-03-2021 15:15:03;1754;850;87.54606483603642;1754
15-03-2021 15:15:08;1758;850;87.38226010889484;1758
15-03-2021 15:15:13;1764;850;87.32240978173392;1764
15-03-2021 15:15:18;1773;850;87.4073587169481;1773
15-03-2021 15:15:23;1780;850;87.39341767184037;1780
